time-ms,jvm:gc-count,jvm:gc-time-ms,jvm:heap-bytes,jvm:non-heap-bytes,jvm:direct-bytes,kafka-consumer:bytes-consumed-total,kafka-consumer:fetch-rate,kafka-consumer:fetch-total,kafka-consumer:records-consumed-total,kafka-consumer:records-per-request-avg,broker:kafka.server:type=BrokerTopicMetrics-name=BytesOutPerSec,broker:kafka.server:type=BrokerTopicMetrics-name=TotalFetchRequestsPerSec
0.0,0.0,0.0,2.86743336E8,3.18898592E8,3400285.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0
100.0,7.0,528.0,2.89269872E8,3.19162536E8,3400335.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0
200.0,7.0,528.0,2.9024872E8,3.19187232E8,3400619.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0
300.0,7.0,528.0,2.9142364E8,3.19150304E8,3404317.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0
400.0,7.0,528.0,2.92300096E8,3.19197504E8,3404372.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0
500.0,7.0,528.0,2.92326432E8,3.1931056E8,3404422.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0
600.0,7.0,528.0,2.92622248E8,3.1934696E8,3404706.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0
700.0,7.0,528.0,2.92637904E8,3.19406888E8,3404801.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0
800.0,7.0,528.0,2.93860256E8,3.19574664E8,3404836.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0
900.0,7.0,528.0,2.94036912E8,3.19639992E8,3404886.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0
1000.0,7.0,528.0,2.94053936E8,3.19664848E8,3405339.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0
1100.0,7.0,528.0,2.941174E8,3.19696816E8,3405581.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0
1200.0,7.0,528.0,2.94367872E8,3.19740152E8,3405881.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0
1300.0,7.0,528.0,2.95817512E8,3.19884E8,3407526.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0
1400.0,7.0,528.0,2.9792164E8,3.20247176E8,3412107.0,0.0,0.0,0.0,0.0,NaN,0.0,1.0
1500.0,7.0,528.0,2.95920784E8,3.20287152E8,5.5845167E7,0.0,0.0,0.0,0.0,NaN,5.24288E7,100.0
1600.0,7.0,528.0,2.97110872E8,3.20474296E8,1.08216681E8,0.0,0.0,0.0,0.0,NaN,5.24288E7,100.0
1700.0,7.0,528.0,2.97938472E8,3.20520976E8,1.59671251E8,0.0,0.0,0.0,0.0,NaN,5.24288E7,100.0
1800.0,7.0,528.0,2.98338704E8,3.20540456E8,2.10274093E8,0.0,0.0,0.0,0.0,NaN,5.24288E7,100.0
1900.0,7.0,528.0,3.00330464E8,3.20637776E8,2.57929595E8,0.0,0.0,0.0,0.0,NaN,5.24288E7,100.0
2000.0,7.0,528.0,3.02131056E8,3.20769456E8,2.57929595E8,0.0,0.0,0.0,0.0,NaN,5.24288E7,100.0
2100.0,7.0,528.0,3.0653068E8,3.210148E8,3.02831051E8,0.0,0.0,0.0,0.0,NaN,5.24288E7,100.0
2200.0,7.0,528.0,3.10699376E8,3.2109972E8,3.40007497E8,0.0,0.0,0.0,0.0,NaN,5.24288E7,100.0
2300.0,7.0,531.0,2.94284408E8,3.21176992E8,3.70961823E8,0.0,0.0,0.0,0.0,NaN,5.24288E7,100.0
2400.0,7.0,531.0,2.95071416E8,3.20746168E8,3.70961823E8,0.0,0.0,0.0,0.0,NaN,5.24288E7,100.0
2500.0,7.0,531.0,3.0506216E8,3.19295576E8,3.70961823E8,0.0,0.0,0.0,0.0,NaN,5.24288E7,100.0
2600.0,7.0,531.0,3.38714392E8,3.19913296E8,3.72994618E8,0.0,0.03068331748028597,1.0,0.0,NaN,5.4525952E7,102.0
2700.0,7.0,531.0,3.64347792E8,3.201194E8,3.91925142E8,1.9605261E7,0.0611415120295925,2.0,3914.0,1957.0,1.06954752E8,202.0
2800.0,7.0,614.0,3.49322344E8,3.20174208E8,3.89807058E8,1.9605261E7,0.0608272506082725,2.0,3914.0,1957.0,1.06954752E8,202.0
2900.0,7.0,614.0,3.48550784E8,3.2020284E8,3.89807058E8,1.9605261E7,0.060805058980907205,2.0,3914.0,1957.0,1.06954752E8,202.0
3000.0,8.0,614.0,2.98969672E8,3.20278208E8,4.41652052E8,1.9605261E7,0.06060789720900633,2.0,3914.0,1957.0,1.06954752E8,202.0
3100.0,8.0,614.0,3.06072152E8,3.20380176E8,4.41652052E8,1.9605261E7,0.06038829674809022,2.0,3914.0,1957.0,1.06954752E8,202.0
3200.0,8.0,614.0,3.11844384E8,3.20417184E8,4.41652052E8,1.9605261E7,0.06016847172081829,2.0,3914.0,1957.0,1.06954752E8,202.0
3300.0,8.0,614.0,3.16454848E8,3.20428128E8,4.69656782E8,1.9605261E7,0.06007990627534621,2.0,3914.0,1957.0,1.06954752E8,202.0
